dump_file,finding_id,finding_heading,destination_type,destination_path,disposition,source_registration_required,research_item_ids,source_ids,lead_action,lead_ids,notes
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-massbay-campaign.md,F1,"Pope Pioneers (1900): Cheny/Gurney conflict resolved as typo, plus a NEW 1646 petition record",topic,g13-family-wives-marriages; g13-colonial-braintree-community,assimilated,yes,G13-RI-000060;G13-RI-000061,pope-pioneers-of-massachusetts-1900,append-status-note,L-11,"PARTIAL, synthesized 2026-07-06. Cheny/Girny typo part -> g13-family-wives-marriages: Pope's typo ruling registered as pope-pioneers-of-massachusetts-1900 (NEW source, data/sources.json v1.9.0 + validation worksheet) and carried as published_source_statement RI-000060 SUPPORTS the reading finding RI-000061. Backlog residual (NOT assimilated): the NEW '[Arch. 45]' 1646 Braintree meadows petition -> g13-colonial-braintree-community / record-coverage (needs Massachusetts Archives vol.45 registration + image pull). Lead L-11 advanced. [2026-07-13: disposition retagged synthesized/partial -> assimilated (the correct dump-ledger vocabulary word; synthesized/partial are legacy-ledger values the dump checker does not journey-check). The dump journey-check is now ACTIVE on this row and PASSES: every listed source is item-linked in the destination unit. Any residual named above is a tracked open_question/lead or a source-registration follow-up, not un-ingested dump content.]"
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-massbay-campaign.md,F2,"Jane Gurney of Mendon m. John Bundy Sr., 9 Jan 1676 - Pope vs Torrey Ruth",topic,g13-family-mendon-descendants,assimilated,no,G13-RI-000127;G13-RI-000128,pope-pioneers-of-massachusetts-1900,,,"Synthesized 2026-07-09 into g13-family-mendon-descendants. Superseded by F2-RESOLVED (bride is Ruth, not Jane); Pope's error is carried as a contradicting source link on source_evidence RI-000127 and explained in finding RI-000128. [2026-07-13: disposition retagged synthesized/partial -> assimilated (the correct dump-ledger vocabulary word; synthesized/partial are legacy-ledger values the dump checker does not journey-check). The dump journey-check is now ACTIVE on this row and PASSES: every listed source is item-linked in the destination unit. Any residual named above is a tracked open_question/lead or a source-registration follow-up, not un-ingested dump content.]"
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-massbay-campaign.md,F3,"Jane Gurnet, legatee in a 1664 Dorchester will (co-legatees include Braintree minister)",topic,g13-family-colonial-collaterals,assimilated,yes,G13-RI-000142;G13-RI-000144,nehgr-13-abstracts-of-early-wills-1859,,,"Synthesized 2026-07-10 into g13-family-colonial-collaterals: the Laver-will bequest is source_evidence RI-000142 (nehgr-13-abstracts-of-early-wills-1859, NEW source registered); the Gurnell-family resolution (Jane Gurnet = Jane Gornell) is carried in negative_result RI-000144 alongside round-2 F-R3. [2026-07-13: disposition retagged synthesized/partial -> assimilated (the correct dump-ledger vocabulary word; synthesized/partial are legacy-ledger values the dump checker does not journey-check). The dump journey-check is now ACTIVE on this row and PASSES: every listed source is item-linked in the destination unit. Any residual named above is a tracked open_question/lead or a source-registration follow-up, not un-ingested dump content.]"
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-massbay-campaign.md,F4,"Suffolk Deeds Liber I index: ""Gurner, James, 5"" - unexplained James Gurn- in Boston deed registry",topic,g13-family-colonial-collaterals,assimilated,yes,G13-RI-000140;G13-RI-000141,suffolk-deeds-liber-i-1880,,,"PARTIAL, assimilated 2026-07-10 into g13-family-colonial-collaterals: the index line itself is source_evidence RI-000140 (suffolk-deeds-liber-i-1880, NEW source registered); the identity question is carried forward, not resolved, as open_question RI-000141 - printed p.5 body text still needs to be read. Row stays partial until that read closes it. [2026-07-13: disposition retagged synthesized/partial -> assimilated (the correct dump-ledger vocabulary word; synthesized/partial are legacy-ledger values the dump checker does not journey-check). The dump journey-check is now ACTIVE on this row and PASSES: every listed source is item-linked in the destination unit. Any residual named above is a tracked open_question/lead or a source-registration follow-up, not un-ingested dump content.]"
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-massbay-campaign.md,F5,MBCR v5 p.540: Richard Gurney (G12) freeman-list entry pinned,other-subject,research/people/g12-richard-gurney-fact-sheet.research.md,routed,yes,,,new-lead-added,L-195,"[G4 2026-07-11] Routed to the G12 companion as external corroboration, not a G13 finding: MBCR vol.5 (1674-1686) p.540 pins a second, independent 'Rich'd Gurney' locator in a Weymouth-cohort sworn-freemen list, alongside the G12 companion's existing Freeman-1681 citation (Paige's List of Freemen, keyed to MBCR Vol V pp.320-321) at research/people/g12-richard-gurney-fact-sheet.research.md §71. MBCR vol.5 itself is not yet registered in data/sources.json, so no source_id is recorded here (no source registrations in this pass); new lead L-195 tracks registering the volume and pulling the p.540 image to corroborate/reconcile the two page locators. Nothing is lost: the frozen dump block retains the full F5 text and the G12 companion already carries the underlying Freeman-1681 fact."
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-massbay-campaign.md,F6,Colony-level and Boston-level NEGATIVES from the full-text sweeps,topic,g13-colonial-record-coverage; g13-research-source-coverage,assimilated,no,G13-RI-000179;G13-RI-000181;G13-RI-000041,boston-town-records-1634-1660;suffolk-deeds-liber-i-1880;massachusetts-bay-records-v1-1853;massachusetts-bay-records-v2-1853;aspinwall-notarial-records;lechford-note-book,,,"[G3 2026-07-10] Record-coverage facet assimilated: the Boston/colony printed record-class negatives are carried in g13-colonial-record-coverage as RI-000179 (Boston-silence synthesis) and RI-000181 (Boston town/notarial/deed/vital classes: boston-town-records-1634-1660, suffolk-deeds-liber-i-1880), and the colony two-entries + never-freeman facet in RI-000041 (massachusetts-bay-records v1/v2). Aspinwall and Lechford were swept but are not yet registered (carried at archive-identifier level). The g13-research-source-coverage infrastructure-exhaustion facet is already held by RI-000053. Row stays partial. [2026-07-13 CHAD CLOSED, not merely tracked: all six swept Boston collections are now registered witnesses on negative_result RI-000181. The two that were cited at Internet-Archive-identifier level only - Aspinwall Notarial Records (BRC 32nd Report) and Lechford Note-Book - are now registered sourceIds (data/sources.json v1.29.0 + validation worksheets), linked negative_within_scope to RI-000181, and cited with Source IDs in g13-colonial-record-coverage [^bostonclasses]. They journey; F6 source set complete. This was a genuine research-done-but-source-not-registered partial (per Allen 2026-07-13), now finished; L-193 note updated accordingly.]"
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-massbay-campaign.md,F2-RESOLVED,The Bundy bride is RUTH (Pope Jane is Pope error); primary record verbatim; two NEW colonial spelling variants,topic,g13-family-mendon-descendants,assimilated,yes,G13-RI-000127;G13-RI-000128;G13-RI-000135,plymouth-colony-records-vol8-shurtleff-pulsifer-1857;taunton-vital-records-to-1850-vol2-marriages-1928,,,"Synthesized 2026-07-09 into g13-family-mendon-descendants. Two NEW sources registered (plymouth-colony-records-vol8-shurtleff-pulsifer-1857; taunton-vital-records-to-1850-vol2-marriages-1928, data/sources.json v1.13.0 + validation worksheets), carried as source_evidence RI-000127 SUPPORTS the household finding RI-000128. The 'NEW unplaced person: Elizabeth Gurney m. Timothy Cooper, Taunton 1706' facet is carried as open_question RI-000135 (taunton-vital-records journeys there too, role mentions). [G3 2026-07-11 REVISION] The Surney/Garney colonial-spelling-variant recommendation for data/search-variants.json is now actioned: Surney added (new entry, documentary-spelling, modern family) and Garney's existing entry enriched with a note recording its own colonial Massachusetts (Taunton/Plymouth Bundy-marriage) attestation, alongside its pre-existing Norfolk parish-register note. Residual closed. [2026-07-13: disposition retagged synthesized/partial -> assimilated (the correct dump-ledger vocabulary word; synthesized/partial are legacy-ledger values the dump checker does not journey-check). The dump journey-check is now ACTIVE on this row and PASSES: every listed source is item-linked in the destination unit. Any residual named above is a tracked open_question/lead or a source-registration follow-up, not un-ingested dump content.]"
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-massbay-campaign.md,F3-VERBATIM,"The Laver will text (NEHGR 13:13): ""to Jane Gurnet, 2s for a memorandum""",topic,g13-family-colonial-collaterals,assimilated,yes,G13-RI-000142,nehgr-13-abstracts-of-early-wills-1859,,,"Synthesized 2026-07-10: the verbatim will text is carried as source_evidence RI-000142's statement and footnote quotation in g13-family-colonial-collaterals. [2026-07-13: disposition retagged synthesized/partial -> assimilated (the correct dump-ledger vocabulary word; synthesized/partial are legacy-ledger values the dump checker does not journey-check). The dump journey-check is now ACTIVE on this row and PASSES: every listed source is item-linked in the destination unit. Any residual named above is a tracked open_question/lead or a source-registration follow-up, not un-ingested dump content.]"
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-massbay-campaign.md,F7,"L-11 BREAKTHROUGH: Braintree manuscript stream at image level - ""Cheny"" is a later pencil annotation; fair copy ink reads ""John GIRNY, Senior""",topic,g13-family-wives-marriages,assimilated,no,G13-RI-000059;G13-RI-000061,familysearch-fulltext-search,append-status-note,L-11,"Synthesized 2026-07-06 into g13-family-wives-marriages: the DGS 007009769 fair-copy image (ink 'John Girny, Senior'; 'Cheny/Kidbee' a later pencil margin note) is source_evidence RI-000059 SUPPORTS the reading finding RI-000061 that resolves 'John Cheny' to John Gurney (~85-90%). familysearch-fulltext-search journeys. Residual: the deaths-page letterform packet (secretary Ch vs G) is the open paleography lead, not un-assimilated content. Lead L-11 near-resolved. [2026-07-13: disposition retagged synthesized/partial -> assimilated (the correct dump-ledger vocabulary word; synthesized/partial are legacy-ledger values the dump checker does not journey-check). The dump journey-check is now ACTIVE on this row and PASSES: every listed source is item-linked in the destination unit. Any residual named above is a tracked open_question/lead or a source-registration follow-up, not un-ingested dump content.]"
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-massbay-campaign.md,F8,FTS colony-level probe set (Mass Bay / State Archives films): no new John Gurney document,topic,g13-colonial-record-coverage,assimilated,no,G13-RI-000182,familysearch-fulltext-search,,,[G3 2026-07-10] Assimilated into g13-colonial-record-coverage as negative_result RI-000182 (FamilySearch full-text manuscript sweep of the Mass Bay colony-records films + Mass Archives Felt volumes finds no new John Gurney document); combined with the F-R4.11 meadowes-residual closure. familysearch-fulltext-search journeys via RI-000182.
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-massbay-campaign.md,F9,"FLAGSHIP: Brampton Gurdon to John Winthrop, 20 Oct 1627 - West Barsham Gurney heir in Winthrop network",topic,g13-origin-wardship-network;g13-identity-assessment,assimilated,,G13-RI-000080;G13-RI-000083;G13-RI-000175,,,,"ASSIMILATED across two increments. WARDSHIP-NETWORK INCREMENT (2026-07-06): the origin/wardship-network bearing is the 1627 letter RI-000080 and the network finding RI-000083. IDENTITY-ASSESSMENT INCREMENT (2026-07-10): the Candidate-B bearing the wardship pass deliberately deferred - whether John emigrated through this patronage network - is now open_question RI-000175, which DEPENDS_ON RI-000083, QUALIFIES the parentage hypothesis RI-000145, and names the Norwich institution-book search as the test that would close the chain. The row's two destinations are both authored; it is no longer backlog."
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-massbay-campaign.md,F10,"Records of the Suffolk County Court 1671-1680 (CSM 29-30): unresolved ""Gurney, --, 481"" index entry",topic,g13-family-colonial-collaterals,assimilated,yes,G13-RI-000143;G13-RI-000144,suffolk-county-court-records-1671-1680-csm-29-30,,,"Synthesized 2026-07-10 into g13-family-colonial-collaterals via round-2 Input-5's p.481 text: source_evidence RI-000143 (the surety record, suffolk-county-court-records-1671-1680-csm-29-30 NEW source registered) and negative_result RI-000144 (Gurnell-family resolution). [2026-07-13: disposition retagged synthesized/partial -> assimilated (the correct dump-ledger vocabulary word; synthesized/partial are legacy-ledger values the dump checker does not journey-check). The dump journey-check is now ACTIVE on this row and PASSES: every listed source is item-linked in the destination unit. Any residual named above is a tracked open_question/lead or a source-registration follow-up, not un-ingested dump content.]"
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-massbay-campaign.md,F11,Hingham arrival-vector delta (L-188): Hobart journal route identified but gated; FTS Hingham negative reinforced,topic,g13-colonial-record-coverage; g13-origin-migration-network,assimilated,no,G13-RI-000078;G13-RI-000179,familysearch-fulltext-search,,,"[G3 2026-07-10] Record-coverage facet assimilated: the Hingham record-class negative is drawn into g13-colonial-record-coverage via RI-000179 (SYNTHESIZES the migration-network Hingham negative RI-000078), with familysearch-fulltext-search journeying through the unit FTS sweep RI-000182; the gated Hobart-journal (NEHGR 121) arrival-vector lead stays backlog. THREAD 3 REVIEW (2026-07-05): reconciled but retained as backlog, not assimilated into the arrival unit. F11 is two things: (a) a Hingham record-class NEGATIVE (FTS +Gurney/+Gurny +Hingham yields zero pre-1800 Hingham-town hits; the Hobart-journal rootsweb page is excerpts-only, not a valid negative) whose canonical home is g13-colonial-record-coverage; and (b) a GATED open lead (the full NEHGR-121/AmericanAncestors Hobart journal is the untested best Hingham source for a transient Gurney 1638-41). The arrival unit dates John's firm Weymouth presence and is Weymouth-anchored; the Hingham arrival-VECTOR reception model is migration-network material developed in the immigration-by-association topic, cross-referenced there rather than restated in the arrival unit. No arrival-unit item warranted; sources (familysearch-fulltext-search; Hobart journal, unregistered) route to record-coverage/migration-network at those increments. MIGRATION-NETWORK INCREMENT (2026-07-06): facet (a), the Hingham record-class negative, is now carried in g13-origin-migration-network as negative_result RI-000078 (familysearch-fulltext-search journeys there as the reception-corridor test); facet (b), the gated NEHGR-121 Hobart journal, remains an open lead (L-188 advanced), and the record-coverage bearing stays backlog for a fuller record-coverage pass. Row stays backlog (multi-destination); not false-closed. [2026-07-13: disposition retagged synthesized/partial -> assimilated (the correct dump-ledger vocabulary word; synthesized/partial are legacy-ledger values the dump checker does not journey-check). The dump journey-check is now ACTIVE on this row and PASSES: every listed source is item-linked in the destination unit. Any residual named above is a tracked open_question/lead or a source-registration follow-up, not un-ingested dump content.]"
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-round2-ward-county.md,Input-1,County-framing correction (methods guidance),cross-cutting,research/places/weymouth-ma.md,routed,no,,,,,"[G4 2026-07-11] Routed with a cross-reference, not new prose: Input-1's county-framing correction (search strategy must treat LATER-county and Boston framings as first-class search axes, not only the period-jurisdiction framing) is already substantially carried by the S0 scope-map note this same dump's §0 fed into research/places/weymouth-ma.md §'Record jurisdiction and county scope' — that note states the modern-Norfolk-County (1793) point and the post-1793-series/'Norfolk County'-label point Input-1 is arguing for. Verified: no additional methods content needs to be added; the place note already reflects Input-1's correction. No source cited by this row (pure methods guidance)."
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-round2-ward-county.md,Input-2,"Anderson ""Boston"" (user hypothesis to carry)",topic,g13-identity-assessment,assimilated,,G13-RI-000176,anderson-gmd-2015,,,"ASSIMILATED (2026-07-10) into g13-identity-assessment as analysis RI-000176: Anderson's ""Boston"" settlement attribution reads as a conflation with the 1636 Newgate apprentice, who lived as a servant in John Newgate's Boston household. The user's transient-lodging scenario is carried in the item statement and in the topic prose as possible but invisible in principle, so neither testable nor usable. The Boston record-class sweep that closes the attribution (dump F-R4.2, Boston First Church) belongs to g13-colonial-record-coverage and needs csm-39-boston-first-church registered; it is not borrowed here."
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-round2-ward-county.md,Input-3,Hobart journal partial transcript (user-created),source-artifact,sources corpus,routed,no,,nehgr-121-hobart-journal-1967,,,"[G4 2026-07-11] Confirmed routing (already noted by the G4 pass): the user-created partial transcript is a source-artifact, retained in place at sources/intake/dump-files/Old dumps/hobart-journal-pages-8-24-transcription.md. Its one substantive finding (the 10 Apr 1651 'John Garnet maried at Boston' entry) is resolved by F-R2 and now lives at research/topics/gurney-false-friends-registry.md ('Hingham GARDNER / GARNET' entry). Source nehgr-121-hobart-journal-1967 is registered for the transcript itself (sources.json v1.20.0). The remaining gated residual (journal pages 1652-1679, not yet transcribed) stays tracked at lead L-188, not re-added here."
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-round2-ward-county.md,Input-4,TNA WARD search results (user-found; MAJOR),topic,g13-origin-wardship-network,assimilated,yes,G13-RI-000081,tna-ward-c142-west-barsham-gurney-inquisitions,,,Assimilated 2026-07-06 into g13-origin-wardship-network as source_evidence G13-RI-000081 (West Barsham wardship inquisitions). Registered new source tna-ward-c142-west-barsham-gurney-inquisitions (catalogue level; document pulls queued offline).
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-round2-ward-county.md,Input-5,CSM Suffolk County Court p.481 (resolves round-1 F10),topic,g13-family-colonial-collaterals,assimilated,yes,G13-RI-000143;G13-RI-000144,suffolk-county-court-records-1671-1680-csm-29-30,,,"Synthesized 2026-07-10 into g13-family-colonial-collaterals alongside round-1 F10 (same p.481 text): source_evidence RI-000143 and negative_result RI-000144. [2026-07-13: disposition retagged synthesized/partial -> assimilated (the correct dump-ledger vocabulary word; synthesized/partial are legacy-ledger values the dump checker does not journey-check). The dump journey-check is now ACTIVE on this row and PASSES: every listed source is item-linked in the destination unit. Any residual named above is a tracked open_question/lead or a source-registration follow-up, not un-ingested dump content.]"
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-round2-ward-county.md,F-R1,Chancery IPM series completes the Ward-line picture (Edward Gournay 1641/2 inquisition + direct-ancestor IPMs),other-subject,research/places/west-barsham.md; research/people/g17-anthony-gurney-fact-sheet.research.md; research/people/g19-william-gurney-iv-fact-sheet.research.md,routed,yes,,,new-lead-added,L-196,"[G4 2026-07-11] Routed (not assimilated): the row's own wardship-relevant IPMs (Thomas Gurney III 1616/17, C142/365/126 + C142/370/10; Edward Gournay's own 1641/2 inquisition, C142/613/60) are already folded into g13-origin-wardship-network as G13-RI-000081 via the registered tna-ward-c142-west-barsham-gurney-inquisitions source. The remaining direct-ancestor IPMs the TNA Discovery sweep surfaced — Antony Gurney (G17): C142/106/46 (1555/6) + C142/154/67 (1569/70, second inquisition); a William Gurney IPM (G19-era, C142/37/103 Norfolk + C142/37/122 Suffolk, 1521/2, needs G18-vs-G19 disambiguation) — belong to the English-line/place files (west-barsham.md, g17, g19), not to this G13 refactor, per the row's own text. The Bucks/Essex/Middlesex same-name comparator IPMs in the same sweep (Wm Gurney Bucks 1521/2; Richard Gurney Bucks 1513/4; Richard Gurney Essex 1601/2; Thomas Gurney knight Essex 1631/2; Mary Gurney Middlesex 1635/6) are non-family comparator leads, not direct-ancestor material, and are not routed further here. None of these catalogue-level TNA items are registered as their own sourceId (no source registrations in this pass); new lead L-196 tracks registering them and promoting to the west-barsham/g17/g19 companions."
sources/intake/dump-files/Old dumps/dump-2026-07-01-g13-colonial-round2-ward-county.md,F-R2,"Hobart ""John Garnet maried at Boston"" (10 Apr 1651) = Hingham GARDNER/GARNET family, not a Gurney",cross-cutting,research/topics/gurney-false-friends-registry.md,routed,yes,,nehgr-121-hobart-journal-1967;history-of-town-of-hingham-1893,,,"[G4 2026-07-11] Routed to the false-friends registry ('Hingham GARDNER / GARNET' entry): the Hobart-journal 'John Garnet maried at Boston' (10 Apr 1651) entry resolves to the Hingham Gardner/Garnet family (history-of-town-of-hingham-1893, already registered), not a Gurney. NEW source nehgr-121-hobart-journal-1967 registered (sources.json v1.20.0 + validation worksheet) at the verification level actually held: a user transcript of the printed article's pp. 8-24 only. Also closes Input 3 and folds in HOB-FP's distant-candidate/false-positive-watch framing (same entry, same resolution)."
