topic_id,source_id,registered_in_sources_json,cited_role,exact_locator_available,media_artifact_path,findings_supported,findings_contradicted,findings_qualified,notes
g13-family-colonial-collaterals,familysearch-fulltext-search,yes,supports,yes,,G13-RI-000136;G13-RI-000137,,,"Providence Town Records 1677-1750 (1695-96 warning-out of John Gurney) and Early Records of the Town of Providence (1714 will/inventory of Sarah Gurney, husband John Gurney alive) - source_evidence RI-000136/RI-000137 supporting the household finding RI-000138."
g13-family-colonial-collaterals,torrey-new-england-marriages-prior-1700,yes,context_for,yes,sources/corpus_supplement/torrey-new-england-marriages-prior-1700-page-331-gurney.md,G13-RI-000139,,,"p.331 John3/Samuel3 entries - context_for the plausible-grandson analysis RI-000139, which weighs but does not resolve the Providence-John3-as-grandson reading."
g13-family-colonial-collaterals,suffolk-deeds-liber-i-1880,yes,mentions,yes,,G13-RI-000140,,,"NEW source (data/sources.json v1.14.0 + validation worksheet). Printed index line 'Gurner, James, 5' (p.5, unread) - mentions-level source_evidence RI-000140, grounding open_question RI-000141."
g13-family-colonial-collaterals,nehgr-13-abstracts-of-early-wills-1859,yes,supports;negative_within_scope,yes,,G13-RI-000142;G13-RI-000144,,,NEW source (data/sources.json v1.14.0 + validation worksheet). Margery Laver's 1664 will ('to Jane Gurnet') - supports source_evidence RI-000142; negative_within_scope for the Dorchester false-friend negative_result RI-000144.
g13-family-colonial-collaterals,boston-record-commissioners-fourth-report-1880,yes,supports;negative_within_scope,yes,,G13-RI-000143;G13-RI-000144,,,NEW source (data/sources.json v1.14.0 + validation worksheet). Dorchester town-record spelling series and the Jane Gornell m. John Burge footnote - supports source_evidence RI-000143; negative_within_scope for RI-000144.
g13-family-colonial-collaterals,records-first-church-dorchester-1891,yes,supports;negative_within_scope,yes,,G13-RI-000143;G13-RI-000144,,,NEW source (data/sources.json v1.14.0 + validation worksheet). 1709 'mrs. Burgesse alias Gurnet' church record - supports source_evidence RI-000143; negative_within_scope for RI-000144.
g13-family-colonial-collaterals,suffolk-county-court-records-1671-1680-csm-29-30,yes,supports;negative_within_scope,yes,,G13-RI-000143;G13-RI-000144,,,NEW source (data/sources.json v1.14.0 + validation worksheet). p.481 'Goodman Gurney of Dorchester' Prise-case surety - supports source_evidence RI-000143; negative_within_scope for RI-000144.
g13-colonial-arrival-chronology,massachusetts-bay-records-v1-1853,yes,supports;context_for,yes,,G13-RI-000001,,G13-RI-000007,"Printed primary transcription (Shurtleff, MBCR vol.1 p.331). Context_for the Porter-forename analysis."
g13-colonial-arrival-chronology,massachusetts-state-archives-colonial,yes,supports;qualifies,yes,,G13-RI-000002,,G13-RI-000007,"Manuscript-image calendar (film 007702977, image 947). Petition document itself remains the outstanding pull."
g13-colonial-arrival-chronology,porter-genealogy-richard-porter-1878,yes,supports,yes,sources/corpus_supplement/porter-genealogy-richard-porter-1878-gurney-extract.md,G13-RI-000003,,,Printed secondary gloss.
